,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
24,2021-03-07,MI,656072.0,378135.0,74321.0,0.0,10362.0,3596.0,0.0,25954.0,35465.0,128239.0,33855.0,421946.0,200271.0,16658.0,11205.0,3634.0,0.0,179.0,79.0,0.0,270.0,425.0,866.0,480.0,13206.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-03-07,MN,490011.0,327714.0,39044.0,43792.0,21470.0,4634.0,556.0,8424.0,6470.0,37907.0,43792.0,408312.0,37907.0,6550.0,5440.0,319.0,203.0,259.0,90.0,6.0,101.0,23.0,109.0,203.0,6238.0,109.0,25978.0,16798.0,3007.0,2202.0,1470.0,457.0,31.0,665.0,237.0,1111.0,2202.0,22665.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-03-07,MO,480643.0,252254.0,42276.0,0.0,4317.0,942.0,22.0,108.0,63952.0,116772.0,17167.0,259531.0,203945.0,8161.0,5162.0,1069.0,0.0,67.0,12.0,1.0,0.0,1295.0,555.0,170.0,6395.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4565866.0,1781880.0,355094.0,0.0,44514.0,6838.0,40.0,192.0,1602892.0,774416.0,81100.0,2166194.0,2318572.0
27,2021-03-07,MP,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-03-07,MS,297581.0,140893.0,97848.0,6525.0,1415.0,2215.0,0.0,0.0,10036.0,38649.0,6525.0,202316.0,88740.0,6808.0,3670.0,2671.0,60.0,18.0,114.0,0.0,0.0,103.0,172.0,60.0,5599.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-03-07,MT,100914.0,63627.0,460.0,0.0,342.0,8156.0,114.0,0.0,6782.0,21433.0,2323.0,62230.0,36361.0,1381.0,856.0,1.0,0.0,1.0,205.0,1.0,0.0,121.0,196.0,25.0,905.0,451.0,4630.0,2233.0,23.0,0.0,0.0,453.0,0.0,0.0,0.0,1921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-03-07,NC,872176.0,442322.0,146993.0,0.0,13620.0,11199.0,0.0,0.0,98470.0,159572.0,118914.0,441831.0,311431.0,11502.0,7160.0,2662.0,0.0,120.0,126.0,0.0,0.0,716.0,718.0,803.0,8916.0,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-03-07,ND,100391.0,55720.0,2881.0,0.0,1317.0,4376.0,0.0,1377.0,28.0,34692.0,0.0,0.0,100391.0,1478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,0.0,0.0,1478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2021-03-07,NE,201608.0,104512.0,5117.0,0.0,2809.0,1257.0,224.0,0.0,3861.0,83828.0,23560.0,82131.0,95917.0,2091.0,1360.0,58.0,0.0,30.0,26.0,1.0,0.0,26.0,590.0,161.0,1095.0,835.0,6147.0,4318.0,304.0,0.0,133.0,93.0,12.0,0.0,174.0,1113.0,1064.0,3538.0,1545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-03-07,NH,76861.0,39457.0,1025.0,4157.0,1036.0,87.0,0.0,394.0,2066.0,28639.0,4157.0,44065.0,28639.0,1184.0,1110.0,13.0,30.0,12.0,1.0,0.0,2.0,12.0,4.0,30.0,1150.0,4.0,1131.0,865.0,38.0,99.0,40.0,0.0,0.0,0.0,25.0,64.0,99.0,968.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
