,Location,2020,2021,2022,Income_per_Capita
1951,"Gates, NC",44611.0,49434.0,49850.0,47965.0
1952,"Graham, NC",39293.0,42625.0,41336.0,41084.666666666664
1953,"Granville, NC",42701.0,46151.0,46906.0,45252.666666666664
1954,"Greene, NC",35078.0,39616.0,38963.0,37885.666666666664
1955,"Guilford, NC",49900.0,54117.0,55008.0,53008.333333333336
1956,"Halifax, NC",40249.0,44549.0,44768.0,43188.666666666664
1957,"Harnett, NC",39664.0,44164.0,44192.0,42673.333333333336
1958,"Haywood, NC",44882.0,49360.0,50894.0,48378.666666666664
1959,"Henderson, NC",48378.0,53379.0,55243.0,52333.333333333336
1960,"Hertford, NC",38993.0,42073.0,41529.0,40865.0
1961,"Hoke, NC",37583.0,41494.0,41181.0,40086.0
1962,"Hyde, NC",45086.0,49971.0,48593.0,47883.333333333336
1963,"Iredell, NC",56778.0,61688.0,64437.0,60967.666666666664
1964,"Jackson, NC",40196.0,44040.0,44870.0,43035.333333333336
1965,"Johnston, NC",44945.0,48440.0,49672.0,47685.666666666664
1966,"Jones, NC",42505.0,50285.0,48585.0,47125.0
1967,"Lee, NC",44833.0,49392.0,49622.0,47949.0
1968,"Lenoir, NC",44714.0,49888.0,51039.0,48547.0
1969,"Lincoln, NC",51873.0,56061.0,58227.0,55387.0
1970,"McDowell, NC",40139.0,43666.0,43983.0,42596.0
1971,"Macon, NC",43926.0,47209.0,48309.0,46481.333333333336
1972,"Madison, NC",39905.0,43326.0,44497.0,42576.0
1973,"Martin, NC",38344.0,43236.0,42553.0,41377.666666666664
1974,"Mecklenburg, NC",68546.0,73908.0,76441.0,72965.0
1975,"Mitchell, NC",40269.0,43700.0,43990.0,42653.0
1976,"Montgomery, NC",41954.0,45816.0,46774.0,44848.0
1977,"Moore, NC",57370.0,61193.0,62886.0,60483.0
1978,"Nash, NC",46612.0,49903.0,50715.0,49076.666666666664
1979,"New Hanover, NC",54128.0,59914.0,60943.0,58328.333333333336
1980,"Northampton, NC",41835.0,47581.0,47614.0,45676.666666666664
1981,"Onslow, NC",46781.0,51490.0,51585.0,49952.0
1982,"Orange, NC",72271.0,75349.0,77568.0,75062.66666666667
1983,"Pamlico, NC",48844.0,52383.0,52301.0,51176.0
1984,"Pasquotank, NC",42956.0,47094.0,47234.0,45761.333333333336
1985,"Pender, NC",45161.0,49607.0,49887.0,48218.333333333336
1986,"Perquimans, NC",46806.0,52814.0,53355.0,50991.666666666664
1987,"Person, NC",42300.0,45717.0,45304.0,44440.333333333336
1988,"Pitt, NC",48920.0,52716.0,53495.0,51710.333333333336
1989,"Polk, NC",54915.0,58680.0,61494.0,58363.0
1990,"Randolph, NC",41641.0,46031.0,46748.0,44806.666666666664
1991,"Richmond, NC",40265.0,44864.0,46009.0,43712.666666666664
1992,"Robeson, NC",37167.0,41618.0,41071.0,39952.0
1993,"Rockingham, NC",41380.0,45428.0,45332.0,44046.666666666664
1994,"Rowan, NC",41866.0,46221.0,46990.0,45025.666666666664
1995,"Rutherford, NC",38322.0,42065.0,42525.0,40970.666666666664
1996,"Sampson, NC",40816.0,46657.0,46849.0,44774.0
1997,"Scotland, NC",37902.0,41005.0,41064.0,39990.333333333336
1998,"Stanly, NC",43161.0,47273.0,48212.0,46215.333333333336
1999,"Stokes, NC",41963.0,46442.0,46391.0,44932.0
2000,"Surry, NC",43044.0,48060.0,48778.0,46627.333333333336
2001,"Swain, NC",44375.0,50318.0,51517.0,48736.666666666664
2002,"Transylvania, NC",48333.0,53026.0,55406.0,52255.0
2003,"Tyrrell, NC",44595.0,47208.0,45079.0,45627.333333333336
2004,"Union, NC",58390.0,64278.0,67641.0,63436.333333333336
2005,"Vance, NC",39534.0,43909.0,43356.0,42266.333333333336
2006,"Wake, NC",65717.0,73800.0,76357.0,71958.0
2007,"Warren, NC",35114.0,38664.0,37601.0,37126.333333333336
2008,"Washington, NC",41670.0,46449.0,45405.0,44508.0
2009,"Watauga, NC",43123.0,46432.0,48445.0,46000.0
2010,"Wayne, NC",44189.0,49132.0,49370.0,47563.666666666664
2011,"Wilkes, NC",41195.0,45732.0,47495.0,44807.333333333336
2012,"Wilson, NC",44619.0,48558.0,48774.0,47317.0
2013,"Yadkin, NC",41757.0,46694.0,47455.0,45302.0
2014,"Yancey, NC",39418.0,41798.0,42006.0,41074.0
2015,"Adams, ND",60325.0,57266.0,58789.0,58793.333333333336
2016,"Barnes, ND",61302.0,66764.0,75766.0,67944.0
2017,"Benson, ND",50026.0,56756.0,68554.0,58445.333333333336
2018,"Billings, ND",86835.0,86789.0,83059.0,85561.0
2019,"Bottineau, ND",69397.0,71537.0,89879.0,76937.66666666667
2020,"Bowman, ND",71448.0,75237.0,75059.0,73914.66666666667
2021,"Burke, ND",80242.0,72620.0,102647.0,85169.66666666667
2022,"Burleigh, ND",62748.0,69512.0,71483.0,67914.33333333333
2023,"Cass, ND",61838.0,67112.0,69087.0,66012.33333333333
2024,"Cavalier, ND",92697.0,89451.0,135571.0,105906.33333333333
2025,"Dickey, ND",67230.0,77706.0,92959.0,79298.33333333333
2026,"Divide, ND",63376.0,62480.0,73799.0,66551.66666666667
2027,"Dunn, ND",78373.0,90817.0,91714.0,86968.0
2028,"Eddy, ND",68886.0,73202.0,90322.0,77470.0
2029,"Emmons, ND",64478.0,76109.0,93990.0,78192.33333333333
2030,"Foster, ND",73331.0,77624.0,91480.0,80811.66666666667
2031,"Golden Valley, ND",51277.0,54925.0,56952.0,54384.666666666664
2032,"Grand Forks, ND",54966.0,58847.0,61124.0,58312.333333333336
2033,"Grant, ND",56492.0,60309.0,64280.0,60360.333333333336
2034,"Griggs, ND",67896.0,74434.0,93926.0,78752.0
2035,"Hettinger, ND",63327.0,58291.0,67417.0,63011.666666666664
2036,"Kidder, ND",66804.0,76495.0,83562.0,75620.33333333333
2037,"LaMoure, ND",67879.0,75618.0,94822.0,79439.66666666667
2038,"Logan, ND",60539.0,69006.0,85398.0,71647.66666666667
2039,"McHenry, ND",66980.0,74314.0,78346.0,73213.33333333333
2040,"McIntosh, ND",70349.0,82395.0,89939.0,80894.33333333333
2041,"McKenzie, ND",65969.0,73100.0,76046.0,71705.0
2042,"McLean, ND",65804.0,78732.0,81193.0,75243.0
2043,"Mercer, ND",62172.0,66610.0,66227.0,65003.0
2044,"Morton, ND",56482.0,60396.0,60819.0,59232.333333333336
2045,"Mountrail, ND",71666.0,73150.0,81073.0,75296.33333333333
2046,"Nelson, ND",68909.0,69892.0,92263.0,77021.33333333333
2047,"Oliver, ND",54142.0,63168.0,62844.0,60051.333333333336
2048,"Pembina, ND",72475.0,79048.0,87939.0,79820.66666666667
2049,"Pierce, ND",56940.0,67932.0,74616.0,66496.0
2050,"Ramsey, ND",56131.0,60315.0,68308.0,61584.666666666664
2051,"Ransom, ND",58274.0,66596.0,74480.0,66450.0
2052,"Renville, ND",80610.0,77149.0,113541.0,90433.33333333333
2053,"Richland, ND",52050.0,62435.0,65952.0,60145.666666666664
2054,"Rolette, ND",48882.0,53057.0,56996.0,52978.333333333336
2055,"Sargent, ND",66380.0,82428.0,93105.0,80637.66666666667
2056,"Sheridan, ND",60193.0,79425.0,99263.0,79627.0
2057,"Sioux, ND",37088.0,37343.0,38785.0,37738.666666666664
2058,"Slope, ND",65273.0,68663.0,57137.0,63691.0
2059,"Stark, ND",61656.0,63187.0,67057.0,63966.666666666664
2060,"Steele, ND",86708.0,85981.0,115546.0,96078.33333333333
2061,"Stutsman, ND",58227.0,61786.0,67944.0,62652.333333333336
2062,"Towner, ND",84431.0,75292.0,119550.0,93091.0
2063,"Traill, ND",66012.0,66588.0,75372.0,69324.0
2064,"Walsh, ND",61913.0,66545.0,75957.0,68138.33333333333
2065,"Ward, ND",57499.0,59994.0,62577.0,60023.333333333336
2066,"Wells, ND",74148.0,81598.0,109412.0,88386.0
2067,"Williams, ND",61728.0,64464.0,69096.0,65096.0
2068,"Adams, OH",39936.0,44026.0,43431.0,42464.333333333336
2069,"Allen, OH",46952.0,49896.0,50195.0,49014.333333333336
2070,"Ashland, OH",44253.0,47250.0,47118.0,46207.0
2071,"Ashtabula, OH",43214.0,46306.0,46316.0,45278.666666666664
2072,"Athens, OH",38205.0,42449.0,41866.0,40840.0
2073,"Auglaize, OH",50590.0,55346.0,55857.0,53931.0
2074,"Belmont, OH",43560.0,46362.0,46658.0,45526.666666666664
2075,"Brown, OH",42616.0,46272.0,45846.0,44911.333333333336
2076,"Butler, OH",51827.0,55095.0,55897.0,54273.0
2077,"Carroll, OH",44274.0,47550.0,47394.0,46406.0
2078,"Champaign, OH",46026.0,49260.0,48873.0,48053.0
2079,"Clark, OH",44342.0,47344.0,47151.0,46279.0
2080,"Clermont, OH",60894.0,61961.0,62495.0,61783.333333333336
2081,"Clinton, OH",47523.0,50106.0,49985.0,49204.666666666664
2082,"Columbiana, OH",42263.0,45061.0,45189.0,44171.0
2083,"Coshocton, OH",39403.0,42623.0,42239.0,41421.666666666664
2084,"Crawford, OH",42878.0,47453.0,46572.0,45634.333333333336
2085,"Cuyahoga, OH",57048.0,62296.0,63448.0,60930.666666666664
2086,"Darke, OH",47551.0,52191.0,52673.0,50805.0
2087,"Defiance, OH",44267.0,47593.0,47310.0,46390.0
