Location,2020,2021,2022
"Lassen, CA",38061,41151,40700
"Los Angeles, CA",67383,73385,74142
"Madera, CA",44394,47533,46406
"Marin, CA",144658,165673,171177
"Mariposa, CA",57215,60584,61230
"Mendocino, CA",52477,56701,57310
"Merced, CA",44163,47574,46188
"Modoc, CA",53072,55646,56559
"Mono, CA",60401,62909,65296
"Monterey, CA",60216,64799,65123
"Napa, CA",81905,87422,86863
"Nevada, CA",66471,70883,72759
"Orange, CA",75572,81567,83553
"Placer, CA",74046,79711,81791
"Plumas, CA",54643,58692,59387
"Riverside, CA",48265,51468,51415
"Sacramento, CA",57243,61775,61558
"San Benito, CA",59893,62148,61693
"San Bernardino, CA",45968,49570,49270
"San Diego, CA",67536,73350,74326
"San Francisco, CA",134758,159968,155819
"San Joaquin, CA",51317,55827,54183
"San Luis Obispo, CA",63024,68717,67951
"San Mateo, CA",141882,174668,175070
"Santa Barbara, CA",68801,76910,75720
"Santa Clara, CA",124637,144552,144399
"Santa Cruz, CA",78299,88997,86365
"Shasta, CA",51246,54546,54120
"Sierra, CA",45192,46767,47877
"Siskiyou, CA",49301,52474,51788
"Solano, CA",57029,59873,58273
"Sonoma, CA",71866,78558,77900
"Stanislaus, CA",48532,52130,51015
"Sutter, CA",49536,53408,52005
"Tehama, CA",44883,47750,47315
"Trinity, CA",33472,35204,36314
"Tulare, CA",45523,48626,47295
"Tuolumne, CA",49653,53216,52806
"Ventura, CA",68273,74527,76375
"Yolo, CA",60305,66308,64279
"Yuba, CA",45680,49013,48204
"Adams, CO*",48594,53185,54681
"Alamosa, CO",40636,43991,43071
"Arapahoe, CO",69132,72518,76304
"Archuleta, CO",50707,54076,55120
"Baca, CO",44958,50030,45659
"Bent, CO",30401,35097,32978
"Boulder, CO*",81673,93472,98553
"Broomfield, CO*",73540,81176,86930
"Chaffee, CO",56194,62699,64561
"Cheyenne, CO",45294,68712,52629
"Clear Creek, CO",68755,73090,77455
"Conejos, CO",41165,45543,43300
"Costilla, CO",39514,41146,39571
"Crowley, CO",22614,25050,22240
"Custer, CO",47761,51005,50780
"Delta, CO",42775,46231,47593
"Denver, CO",86823,103180,112290
"Dolores, CO",39242,40752,38962
"Douglas, CO",83745,90447,99168
"Eagle, CO",88073,103440,113643
"Elbert, CO",65795,71818,76264
"El Paso, CO",54504,59716,61076
"Fremont, CO",38348,41902,42499
"Garfield, CO",57713,61395,65657
"Gilpin, CO",55446,62515,66285
"Grand, CO",55998,64001,68066
"Gunnison, CO",56132,62551,65797
"Hinsdale, CO",54192,56331,61084
"Huerfano, CO",44491,49647,49407
"Jackson, CO",56988,60513,63428
"Jefferson, CO*",68983,75899,79751
"Kiowa, CO",52433,68255,51779
"Kit Carson, CO",41368,52606,43807
"Lake, CO",43964,48546,51963
"La Plata, CO",61017,66115,68794
"Larimer, CO",59762,65501,67849
"Las Animas, CO",42034,44585,44498
"Lincoln, CO",32999,37901,34678
"Logan, CO",43592,49575,49736
"Mesa, CO",48548,53194,54654
"Mineral, CO",64799,63336,67889
"Moffat, CO",43079,46306,47523
"Montezuma, CO",46985,51642,50508
"Montrose, CO",45861,50585,50848
"Morgan, CO",47071,52067,50640
"Otero, CO",39482,42181,41533
"Ouray, CO",75140,83281,88190
"Park, CO",54055,58026,61230
"Phillips, CO",43704,51266,48096
"Pitkin, CO",172065,195299,217482
"Prowers, CO",41074,45566,45223
"Pueblo, CO",43256,46883,47208
"Rio Blanco, CO",49649,55788,56583
"Rio Grande, CO",51083,55695,54513
"Routt, CO",91880,109021,119278
"Saguache, CO",40000,43155,37247
"San Juan, CO",54134,56911,53172
"San Miguel, CO",100751,125547,138635
"Sedgwick, CO",40966,51613,44053
"Summit, CO",77833,86289,94423
"Teller, CO",56814,62821,65399
"Washington, CO",40456,47498,43100
"Weld, CO*",51920,56592,58860
"Yuma, CO",40759,49825,44948
"Fairfield, CT",115859,119982,125185
"Hartford, CT",66436,69487,70339
"Litchfield, CT",70947,76129,79947
"Middlesex, CT",70759,73081,74591
"New Haven, CT",60506,63599,64829
"New London, CT",61119,64182,64847
"Tolland, CT",59931,60304,61498
"Windham, CT",50431,53289,53504
"Kent, DE",46052,49316,51188
"New Castle, DE",58624,60706,66397
"Sussex, DE",56403,61815,64957
"District of Columbia, DC",89703,97498,95970
"Alachua, FL",47655,52040,52594
"Baker, FL",39068,42067,44763
"Bay, FL",50069,54638,54268
"Bradford, FL",37466,40143,41551
"Brevard, FL",51212,55934,56817
"Broward, FL",56080,63819,66009
"Calhoun, FL",33095,36370,36291
"Charlotte, FL",48422,52777,53227
"Citrus, FL",41602,45406,45330
"Clay, FL",47815,52822,53695
"Collier, FL",110993,126031,131160
"Columbia, FL",39953,43991,43192
"DeSoto, FL",30593,33240,32893
"Dixie, FL",33019,35540,35138
"Duval, FL",49908,55344,56168
"Escambia, FL",47483,51995,52257
"Flagler, FL",54916,58572,60291
"Franklin, FL",38831,44765,45581
"Gadsden, FL",40828,44538,44211
"Gilchrist, FL",39778,42235,42176
"Glades, FL",30798,32170,31410
"Gulf, FL",45649,50226,48554
"Hamilton, FL",31555,34651,34058
"Hardee, FL",32291,35471,34968
"Hendry, FL",37468,40430,39249
"Hernando, FL",42700,46140,46591
"Highlands, FL",38713,41693,41845
"Hillsborough, FL",53144,57905,59515
"Holmes, FL",34977,38501,38620
"Indian River, FL",87110,99515,105250
"Jackson, FL",37783,40603,39669
"Jefferson, FL",46583,49818,49315
"Lafayette, FL",29153,32174,33903
"Lake, FL",45699,51068,52291
"Lee, FL",58139,62783,63568
"Leon, FL",49155,53844,54244
"Levy, FL",41033,44156,43873
"Liberty, FL",31331,34917,32522
"Madison, FL",37897,39977,40728
"Manatee, FL",53842,58861,59691
"Marion, FL",40896,45009,44521
"Martin, FL",97665,103621,110336
"Miami-Dade, FL",56235,65948,68481
"Monroe, FL",94837,109873,119138
"Nassau, FL",66135,73137,76442
"Okaloosa, FL",53709,59322,59966
"Okeechobee, FL",35817,39219,40502
"Orange, FL",48829,54726,55374
"Osceola, FL",39272,44013,44344
"Palm Beach, FL",92202,103295,109055
"Pasco, FL",46646,51365,52601
"Pinellas, FL",60721,66415,68642
"Polk, FL",40807,43915,43223
"Putnam, FL",37372,39668,39440
"St. Johns, FL",76091,83355,88388
"St. Lucie, FL",45416,50856,52363
"Santa Rosa, FL",50522,55715,57440
"Sarasota, FL",74102,81954,84035
"Seminole, FL",52928,58147,59581
"Sumter, FL",59621,68524,69224
"Suwannee, FL",37672,40868,41655
"Taylor, FL",34114,37863,37025
"Union, FL",24472,26152,26536
"Volusia, FL",47861,52364,53559
"Wakulla, FL",41790,46941,47779
"Walton, FL",73458,84975,88228
"Washington, FL",33893,37271,36329
"Appling, GA",39134,42693,43602
"Atkinson, GA",32289,35210,36622
"Bacon, GA",37448,39057,39972
"Baker, GA",45061,50236,49696
"Baldwin, GA",37644,42144,42270
"Banks, GA",39236,42335,45056
"Barrow, GA",41874,45781,46980
"Bartow, GA",43677,47617,48565
"Ben Hill, GA",35045,39215,38598
"Berrien, GA",37707,39785,39871
"Bibb, GA",43114,47550,46196
"Bleckley, GA",39434,42520,41038
"Brantley, GA",32305,35115,34896
"Brooks, GA",37748,40041,39500
"Bryan, GA",51941,56017,57520
"Bulloch, GA",35955,39375,38397
"Burke, GA",39461,41852,40590
"Butts, GA",37629,41252,41635
"Calhoun, GA",32097,35219,33901
"Camden, GA",39770,43831,43622
"Candler, GA",36647,40602,40614
"Carroll, GA",44781,49127,50475
"Catoosa, GA",38879,42150,42316
"Charlton, GA",29050,30915,31382
"Chatham, GA",51366,56848,56682
"Chattahoochee, GA",34644,38530,36305
"Chattooga, GA",33447,36991,37055
"Cherokee, GA",57355,63168,66230
"Clarke, GA",37715,40910,40970
"Clay, GA",39165,39388,36851
"Clayton, GA",31757,34575,32831
"Clinch, GA",41018,41910,41712
"Cobb, GA",62551,68273,69932
"Coffee, GA",35602,40811,38972
"Colquitt, GA",37726,41085,41164
"Columbia, GA",55580,58773,58889
"Cook, GA",36499,39968,38956
"Coweta, GA",53350,57721,59967
"Crawford, GA",37331,40216,40218
"Crisp, GA",41968,45832,44582
"Dade, GA",37930,40794,41920
"Dawson, GA",51885,57898,61067
"Decatur, GA",37647,42311,41224
"DeKalb, GA",55996,62588,62632
"Dodge, GA",34673,37790,36210
"Dooly, GA",40575,44318,44793
"Dougherty, GA",40963,46317,44681
"Douglas, GA",40654,43855,43652
"Early, GA",40613,43753,42119
"Echols, GA",33421,34042,32683
"Effingham, GA",44578,48134,48223
"Elbert, GA",38764,41816,42537
"Emanuel, GA",37954,39913,39039
"Evans, GA",36944,40397,40564
"Fannin, GA",42947,48239,49594
"Fayette, GA",68059,72745,75294
"Floyd, GA",40944,44304,44126
"Forsyth, GA",69446,74888,79382
"Franklin, GA",35942,40700,44078
"Fulton, GA",92999,101688,100614
"Gilmer, GA",38423,43216,45291
"Glascock, GA",38951,40287,39345
"Glynn, GA",52711,58513,60033
"Gordon, GA",38340,42973,44793
"Grady, GA",35506,39012,38487
"Greene, GA",64295,74348,75927
"Gwinnett, GA",45934,50121,50866
"Habersham, GA",36900,39411,40155
"Hall, GA",50009,55175,57416
"Hancock, GA",32954,34989,35521
"Haralson, GA",40931,44439,45136
"Harris, GA",52912,57086,58675
"Hart, GA",41239,44058,45862
"Heard, GA",36454,40731,41968
"Henry, GA",42920,46657,46921
"Houston, GA",45424,49215,48082
"Irwin, GA",37537,42407,42351
"Jackson, GA",47450,51967,54880
"Jasper, GA",43856,46114,47429
"Jeff Davis, GA",35062,37473,36710
"Jefferson, GA",38486,42752,41525
"Jenkins, GA",35372,37132,36807
"Johnson, GA",31063,34010,31721
"Jones, GA",40731,44451,43191
"Lamar, GA",38930,43371,43734
"Lanier, GA",33315,35444,33834
"Laurens, GA",40071,43821,42791
"Lee, GA",46904,51314,52032
"Liberty, GA",37957,40692,39543
"Lincoln, GA",45093,47353,46470
"Long, GA",36305,40090,39887
"Lowndes, GA",41402,44477,43907
"Lumpkin, GA",41703,47783,47019
"McDuffie, GA",40851,43733,42460
"McIntosh, GA",44612,47733,47623
"Macon, GA",36073,39600,43120
"Madison, GA",39779,43702,46486
"Marion, GA",35876,38321,38071
"Meriwether, GA",40598,44167,43980
"Miller, GA",47693,52357,51093
"Mitchell, GA",41465,43784,44143
"Monroe, GA",48798,53965,54195
"Montgomery, GA",35668,38210,37167
"Morgan, GA",53448,58058,60452
"Murray, GA",33208,37075,37457
"Muscogee, GA",44073,48080,48049
"Newton, GA",38876,41815,41639
"Oconee, GA",71183,76252,79902
"Oglethorpe, GA",40391,44545,47054
"Paulding, GA",43299,46884,48143
"Peach, GA",41448,44734,43892
"Pickens, GA",52304,58572,60616
"Pierce, GA",40089,41747,41663
"Pike, GA",45095,49130,50712
"Polk, GA",36460,39300,39642
"Pulaski, GA",37981,42590,40998
"Putnam, GA",49113,53678,54458
"Quitman, GA",39618,37213,36631
"Rabun, GA",45591,52091,52393
"Randolph, GA",40796,43575,41988
"Richmond, GA",41139,43706,42289
"Rockdale, GA",38989,41988,41230
"Schley, GA",40815,43260,43455
"Screven, GA",37679,40782,39929
"Seminole, GA",45167,47608,46167
"Spalding, GA",38420,42951,41959
"Stephens, GA",39309,43679,44891
"Stewart, GA",30574,33130,35666
"Sumter, GA",40077,43580,42832
"Talbot, GA",43391,46201,46351
"Taliaferro, GA",38125,40684,43649
"Tattnall, GA",31015,34632,36710
"Taylor, GA",35174,39674,38099
"Telfair, GA",27953,30222,28393
"Terrell, GA",42725,46819,45283
"Thomas, GA",47490,53241,53576
"Tift, GA",41453,45381,44567
"Toombs, GA",39384,42723,41673
"Towns, GA",44133,47696,47620
"Treutlen, GA",35317,37701,36373
"Troup, GA",41256,44969,44692
"Turner, GA",34183,38251,36913
"Twiggs, GA",41146,44766,44484
"Union, GA",41837,45300,44591
"Upson, GA",37311,41489,41014
"Walker, GA",37808,41559,42301
"Walton, GA",46685,50561,51707
"Ware, GA",36443,39081,38420
"Warren, GA",40325,41327,40184
"Washington, GA",39941,40814,40316
"Wayne, GA",35791,38894,37869
"Webster, GA",39904,40385,39491
"Wheeler, GA",22265,23257,23545
"White, GA",43654,47944,49331
"Whitfield, GA",42967,44941,45299
"Wilcox, GA",28791,32436,33327
"Wilkes, GA",42687,47613,52916
"Wilkinson, GA",39924,42739,43102
"Worth, GA",38257,41792,40968
"Hawaii, HI",45549,50585,49476
"Honolulu, HI",60273,64193,64936
"Kauai, HI",53025,56983,56697
"Maui + Kalawao, HI*",52923,60287,60376
"Ada, ID",58150,64113,67555
"Adams, ID",39623,42499,43730
"Bannock, ID",42524,46362,47457
"Bear Lake, ID",44640,46141,48506
"Benewah, ID",42995,44159,43568
"Bingham, ID",41045,45218,46908
"Blaine, ID",124919,146618,165640
"Boise, ID",50622,51106,53627
"Bonner, ID",48711,51235,51980
"Bonneville, ID",59981,61768,62984
"Boundary, ID",41837,46100,45392
"Butte, ID",49511,49912,53691
"Camas, ID",52455,54503,61839
"Canyon, ID",39271,43676,45412
"Caribou, ID",47704,45940,48447
"Cassia, ID",48779,50609,54637
"Clark, ID",46771,41290,47270
"Clearwater, ID",39603,42599,43539
"Custer, ID",46091,48762,51352
"Elmore, ID",38790,42575,43302
"Franklin, ID",40092,44036,44275
"Fremont (includes Yellowstone Park), ID",41537,44513,46611
"Gem, ID",42200,45380,46896
"Gooding, ID",62867,63627,72945
"Idaho, ID",39131,44130,44315
"Jefferson, ID",40302,43633,45376
"Jerome, ID",41526,43198,45665
"Kootenai, ID",51986,57652,60474
"Latah, ID",47116,51378,52627
"Lemhi, ID",47476,51920,54050
"Lewis, ID",57498,58994,60480
"Lincoln, ID",43404,45382,51693
"Madison, ID",24804,27212,27836
"Minidoka, ID",44768,45297,47934
"Nez Perce, ID",47492,51923,54421
"Oneida, ID",41784,45526,46699
"Owyhee, ID",41576,44735,48250
"Payette, ID",43140,46224,48642
"Power, ID",45803,42234,47617
"Shoshone, ID",41787,44972,45311
"Teton, ID",49636,57376,62194
"Twin Falls, ID",43529,47217,49019
"Valley, ID",54698,61529,64666
"Washington, ID",39867,41301,43417
"Adams, IL",51390,56077,56218
"Alexander, IL",45957,49757,48741
"Bond, IL",41032,45397,45366
"Boone, IL",50554,55444,55513
"Brown, IL",41939,44437,46761
"Bureau, IL",46708,52339,51583
"Calhoun, IL",50511,55169,55438
"Carroll, IL",45317,51292,51788
"Cass, IL",44159,49296,50030
"Champaign, IL",50158,54619,54633
"Christian, IL",43724,48907,49053
"Clark, IL",45044,51184,51125
"Clay, IL",43275,50033,49215
"Clinton, IL",53243,57816,58868
"Coles, IL",48069,52751,52162
"Cook, IL",66952,72979,72847
"Crawford, IL",48592,51798,52188
"Cumberland, IL",78838,87319,89427
"DeKalb, IL",47111,50917,51005
"De Witt, IL",51458,57609,57270
"Douglas, IL",54884,61267,62992
"DuPage, IL",78904,86772,88588
"Edgar, IL",48011,55368,56293
"Edwards, IL",45159,50416,49808
"Effingham, IL",55121,61059,62321
"Fayette, IL",39967,45045,44553
"Ford, IL",56320,62397,64367
"Franklin, IL",42160,45905,45261
"Fulton, IL",43302,47340,47964
"Gallatin, IL",45270,54033,54579
"Greene, IL",44325,51940,53359
"Grundy, IL",59249,59926,60964
"Hamilton, IL",47104,54007,53404
"Hancock, IL",49333,56747,56127
"Hardin, IL",41878,45035,46014
"Henderson, IL",47084,54943,57521
"Henry, IL",50741,55952,56099
"Iroquois, IL",49496,55986,57391
"Jackson, IL",43011,47156,46270
"Jasper, IL",48923,56703,56506
"Jefferson, IL",44063,47955,47153
"Jersey, IL",47920,52386,52423
"Jo Daviess, IL",51002,57672,58113
"Johnson, IL",37234,39800,39362
"Kane, IL",58284,63094,63889
"Kankakee, IL",47418,51692,51048
"Kendall, IL",53667,57385,58683
"Knox, IL",43169,47519,46991
"Lake, IL",81516,91061,94022
"LaSalle, IL",48757,52830,53325
"Lawrence, IL",35269,40123,39371
"Lee, IL",46791,51795,52103
"Livingston, IL",50312,56919,56782
"Logan, IL",42550,47957,48267
"McDonough, IL",44340,48639,48091
"McHenry, IL",59795,64203,65807
"McLean, IL",54939,59244,58178
"Macon, IL",51474,56437,56774
"Macoupin, IL",46127,51201,51047
"Madison, IL",51122,55649,55991
"Marion, IL",46546,50225,50032
"Marshall, IL",49230,55065,56882
"Mason, IL",47446,54857,56174
"Massac, IL",41652,45574,44953
"Menard, IL",50117,57108,57347
"Mercer, IL",52030,58711,59186
"Monroe, IL",61159,68594,68762
"Montgomery, IL",39597,43988,43454
"Morgan, IL",45219,50162,50027
"Moultrie, IL",69066,67555,75225
"Ogle, IL",49259,54105,54751
"Peoria, IL",52939,57149,57356
"Perry, IL",40642,43763,42923
"Piatt, IL",58006,65807,67037
"Pike, IL",48877,58154,55127
"Pope, IL",35657,37572,36510
"Pulaski, IL",42112,46988,45893
"Putnam, IL",59520,66833,66956
"Randolph, IL",43565,47044,46444
"Richland, IL",45472,51006,52031
"Rock Island, IL",46322,49395,48787
"St. Clair, IL",50312,54909,54666
"Saline, IL",42052,46565,46756
"Sangamon, IL",52360,57872,57167
"Schuyler, IL",48420,52500,53407
"Scott, IL",47095,55167,55644
"Shelby, IL",46049,52290,52615
"Stark, IL",50407,61073,62672
"Stephenson, IL",47302,52049,52846
"Tazewell, IL",51825,55357,56509
"Union, IL",45547,48789,48155
"Vermilion, IL",44276,48950,49105
"Wabash, IL",46440,52007,52172
"Warren, IL",45807,52753,55383
"Washington, IL",53927,60802,60586
"Wayne, IL",42968,48355,49228
"White, IL",49292,56490,56853
"Whiteside, IL",47896,52211,52341
"Will, IL",57742,62708,63653
"Williamson, IL",48729,52165,51821
"Winnebago, IL",46497,50575,49920
"Woodford, IL",56414,61565,63221
"Adams, IN",42562,47419,48653
"Allen, IN",50107,55795,57245
"Bartholomew, IN",55840,59915,61920
"Benton, IN",47119,53845,53842
"Blackford, IN",39449,43819,44486
"Boone, IN",77646,85736,91419
"Brown, IN",52478,57432,59204
"Carroll, IN",46931,50582,50551
"Cass, IN",42919,47416,47473
"Clark, IN",48762,52120,53321
"Clay, IN",40988,44962,44425
"Clinton, IN",41550,45620,46041
"Crawford, IN",38166,41583,41391
"Daviess, IN",48419,53843,58225
"Dearborn, IN",51945,56644,57660
"Decatur, IN",47496,52172,52101
"DeKalb, IN",48371,54013,54957
"Delaware, IN",41680,45087,45465
"Dubois, IN",57951,62884,65721
"Elkhart, IN",49336,56465,58570
"Fayette, IN",43942,47360,47568
