Location,2020,2021,2022
"Barry, MO",38451,41410,43879
"Barton, MO",40790,42419,43872
"Bates, MO",45525,47311,47420
"Benton, MO",41664,43115,43787
"Bollinger, MO",42750,44894,45696
"Boone, MO",50869,54260,55395
"Buchanan, MO",43656,46613,47415
"Butler, MO",40525,42945,43455
"Caldwell, MO",42857,45115,45520
"Callaway, MO",43232,45214,45695
"Camden, MO",46029,54076,49961
"Cape Girardeau, MO",46142,48394,49636
"Carroll, MO",50623,56435,58797
"Carter, MO",42804,44908,46372
"Cass, MO",51424,54169,55712
"Cedar, MO",34477,36272,36483
"Chariton, MO",47478,51535,51137
"Christian, MO",45626,48494,49503
"Clark, MO",41567,43654,44235
"Clay, MO",52111,55214,55738
"Clinton, MO",45629,47489,48009
"Cole, MO",52041,54913,56258
"Cooper, MO",45369,49543,50054
"Crawford, MO",39853,43306,43825
"Dade, MO",37978,41182,42280
"Dallas, MO",36350,38682,39460
"Daviess, MO",36388,37792,36926
"DeKalb, MO",34573,35685,37167
"Dent, MO",39617,41410,41129
"Douglas, MO",35575,37601,36760
"Dunklin, MO",38660,43551,43916
"Franklin, MO",49320,52066,53957
"Gasconade, MO",43786,46030,46910
"Gentry, MO",48483,50472,49023
"Greene, MO",47751,50365,51938
"Grundy, MO",38384,40924,40595
"Harrison, MO",41281,43645,43446
"Henry, MO",45220,48358,48899
"Hickory, MO",36842,38960,39084
"Holt, MO",56520,57862,60269
"Howard, MO",43993,47819,47809
"Howell, MO",38338,40430,40595
"Iron, MO",38255,40962,41712
"Jackson, MO",49572,52436,53153
"Jasper, MO",40826,43402,44028
"Jefferson, MO",46606,49802,51143
"Johnson, MO",40193,46616,43156
"Knox, MO",41397,43668,43232
"Laclede, MO",39132,42233,43659
"Lafayette, MO",45937,49577,50109
"Lawrence, MO",37046,39561,40360
"Lewis, MO",37876,41052,41383
"Lincoln, MO",44878,48179,49802
"Linn, MO",43084,45104,45212
"Livingston, MO",45595,47636,47712
"McDonald, MO",31987,34982,37419
"Macon, MO",44504,47858,50361
"Madison, MO",39246,40455,40923
"Maries, MO",38856,41106,40939
"Marion, MO",44923,47763,48850
"Mercer, MO",36420,39291,37419
"Miller, MO",41095,43294,43393
"Mississippi, MO",37847,41414,42471
"Moniteau, MO",44082,45290,47605
"Monroe, MO",43752,47598,47378
"Montgomery, MO",45389,49352,49676
"Morgan, MO",44679,44431,47574
"New Madrid, MO",42227,49560,50951
"Newton, MO",42210,44900,46705
"Nodaway, MO",38166,39999,41353
"Oregon, MO",40403,42847,42614
"Osage, MO",49062,50763,52883
"Ozark, MO",37372,38926,39465
"Pemiscot, MO",40447,46633,46684
"Perry, MO",45763,48271,49020
"Pettis, MO",40113,43430,44298
"Phelps, MO",42234,43902,43954
"Pike, MO",39401,41025,41389
"Platte, MO",60173,65615,68510
"Polk, MO",39168,41427,42224
"Pulaski, MO",43815,44888,43627
"Putnam, MO",39855,42307,40728
"Ralls, MO",44531,46889,47343
"Randolph, MO",43576,47977,48170
"Ray, MO",45725,47571,47520
"Reynolds, MO",38223,40342,40496
"Ripley, MO",42379,45048,45501
"St. Charles, MO",58150,62225,64563
"St. Clair, MO",34116,36989,36765
"Ste. Genevieve, MO",44011,46786,47262
"St. Francois, MO",38680,41026,42028
"St. Louis, MO",78750,87474,93405
"Saline, MO",41564,44915,46078
"Schuyler, MO",37774,39709,40058
"Scotland, MO",41358,46979,47207
"Scott, MO",44870,48843,50298
"Shannon, MO",39213,40938,40142
"Shelby, MO",43446,49063,49093
"Stoddard, MO",40162,46210,47705
"Stone, MO",44065,46590,46958
"Sullivan, MO",44544,45592,42918
"Taney, MO",38930,43685,44933
"Texas, MO",34497,36586,36058
"Vernon, MO",39879,42344,42852
"Warren, MO",46660,49910,51472
"Washington, MO",34880,37285,37597
"Wayne, MO",39468,41702,42370
"Webster, MO",37889,41029,41845
"Worth, MO",41246,41890,41738
"Wright, MO",36178,38509,38068
"St. Louis (Independent City), MO",50464,53965,55771
"Beaverhead, MT",52324,55636,60928
"Big Horn, MT",35589,36109,37312
"Blaine, MT",32615,32815,36645
"Broadwater, MT",47076,49643,51738
"Carbon, MT",59163,64523,68158
"Carter, MT",40860,37769,41675
"Cascade, MT",50449,54549,57020
"Chouteau, MT",45373,40361,54873
"Custer, MT",47934,49846,52621
"Daniels, MT",57145,54875,63950
"Dawson, MT",46552,47756,49532
"Deer Lodge, MT",44085,46892,47934
"Fallon, MT",48419,49496,50398
"Fergus, MT",45617,47976,51168
"Flathead, MT",55522,61389,63096
"Gallatin, MT",64278,75990,80909
"Garfield, MT",41756,33883,43776
"Glacier, MT",41027,40962,44512
"Golden Valley, MT",55626,51303,56055
"Granite, MT",51203,55859,56476
"Hill, MT",49141,50097,54495
"Jefferson, MT",54262,58739,60333
"Judith Basin, MT",52433,45304,53576
"Lake, MT",43419,46617,47554
"Lewis and Clark, MT",53728,58278,59484
"Liberty, MT",60901,54887,73510
"Lincoln, MT",41848,44670,44876
"McCone, MT",44296,48025,52988
"Madison, MT",64233,66830,72380
"Meagher, MT",47986,45957,49399
"Mineral, MT",43855,45474,46543
"Missoula, MT",57586,61813,63790
"Musselshell, MT",47410,48624,49454
"Park, MT",53475,59297,63173
"Petroleum, MT",37382,26529,34027
"Phillips, MT",42234,42371,44965
"Pondera, MT",55991,53094,60715
"Powder River, MT",40552,37015,40797
"Powell, MT",50279,48000,50197
"Prairie, MT",50445,48134,52839
"Ravalli, MT",52517,57933,60302
"Richland, MT",58700,61094,64385
"Roosevelt, MT",39507,41762,43738
"Rosebud, MT",51262,52971,52824
"Sanders, MT",40714,44417,44425
"Sheridan, MT",53329,52319,52985
"Silver Bow, MT",49834,54695,56562
"Stillwater, MT",62117,65637,68196
"Sweet Grass, MT",53559,56172,59382
"Teton, MT",52619,51937,60197
"Toole, MT",55337,50773,59651
"Treasure, MT",54839,44079,51553
"Valley, MT",49789,56153,59582
"Wheatland, MT",44347,43032,46650
"Wibaux, MT",44334,45971,46540
"Yellowstone, MT",55689,61444,63518
"Adams, NE",52791,59143,59957
"Antelope, NE",69293,76135,68854
"Arthur, NE",53465,52002,44552
"Banner, NE",64167,65537,61055
"Blaine, NE",70770,58297,54658
"Boone, NE",62646,75278,63171
"Box Butte, NE",52327,56881,55279
"Boyd, NE",63420,77058,78548
"Brown, NE",63885,66787,63694
"Buffalo, NE",61104,63090,64345
"Burt, NE",50012,58751,54582
"Butler, NE",52429,61699,60089
"Cass, NE",57664,63038,64423
"Cedar, NE",56280,68427,62600
"Chase, NE",68280,74217,72629
"Cherry, NE",53775,57482,53966
"Cheyenne, NE",49093,49965,50654
"Clay, NE",57219,67098,59478
"Colfax, NE",49334,57045,55867
"Cuming, NE",71571,77890,75151
"Custer, NE",55842,61861,58535
"Dakota, NE",42448,49692,52218
"Dawes, NE",44577,48428,45952
"Dawson, NE",48274,52255,52737
"Deuel, NE",44973,46581,46682
"Dixon, NE",49975,57392,55069
"Dodge, NE",50938,56967,59352
"Douglas, NE",63908,69494,73848
"Dundy, NE",84840,90133,88332
"Fillmore, NE",60975,70246,66187
"Franklin, NE",60193,65997,60677
"Frontier, NE",46967,57034,53520
"Furnas, NE",53174,62426,59793
"Gage, NE",51048,60506,63862
"Garden, NE",50699,54767,51563
"Garfield, NE",51147,51279,48806
"Gosper, NE",58003,68870,65828
"Grant, NE",53831,54695,48679
"Greeley, NE",58822,69429,62337
"Hall, NE",46608,53097,54001
"Hamilton, NE",60059,67986,66564
"Harlan, NE",61150,66766,63131
"Hayes, NE",85559,90000,76360
"Hitchcock, NE",48668,60120,58682
"Holt, NE",58823,68581,63189
"Hooker, NE",46681,44294,43520
"Howard, NE",51656,57793,56410
"Jefferson, NE",50684,58782,57442
"Johnson, NE",38302,44011,42926
"Kearney, NE",61068,72466,68461
"Keith, NE",49873,54034,53846
"Keya Paha, NE",66673,59846,58537
"Kimball, NE",51338,53129,55137
"Knox, NE",52394,58946,58711
"Lancaster, NE",53413,59148,60354
"Lincoln, NE",52995,61767,64765
"Logan, NE",54793,55168,52787
"Loup, NE",61589,65232,63277
"McPherson, NE",67559,59652,55976
"Madison, NE",53199,60940,62467
"Merrick, NE",52443,57699,55273
"Morrill, NE",64596,69598,69476
"Nance, NE",44010,54811,47674
"Nemaha, NE",49886,58656,55302
"Nuckolls, NE",57562,69251,63433
"Otoe, NE",55792,59324,57918
"Pawnee, NE",51603,60006,55877
"Perkins, NE",73168,90733,86085
"Phelps, NE",59467,66650,62347
"Pierce, NE",58704,74110,85508
"Platte, NE",50871,57063,56218
"Polk, NE",56116,68331,65211
"Red Willow, NE",50400,55324,56193
"Richardson, NE",53467,61220,58536
"Rock, NE",74960,78263,71711
"Saline, NE",46463,53826,51895
"Sarpy, NE",54913,59912,62030
"Saunders, NE",57608,64918,65145
"Scotts Bluff, NE",49372,52336,53341
"Seward, NE",54055,59935,59292
"Sheridan, NE",55990,63546,70167
"Sherman, NE",49798,60558,56306
"Sioux, NE",66775,71425,65775
"Stanton, NE",52888,60387,58387
"Thayer, NE",58689,69458,66329
"Thomas, NE",60627,60478,66131
"Thurston, NE",48520,57308,56714
"Valley, NE",59236,63629,60603
"Washington, NE",60651,67469,69798
"Wayne, NE",46207,52428,51794
"Webster, NE",55079,58623,56696
"Wheeler, NE",70785,67539,56550
"York, NE",53543,61031,60623
"Churchill, NV",49956,55338,54206
"Clark, NV",52562,58388,59150
"Douglas, NV",85351,95082,100296
"Elko, NV",50285,53482,54046
"Esmeralda, NV",47951,64078,60376
"Eureka, NV",48559,48166,49631
"Humboldt, NV",50786,54126,54432
"Lander, NV",68478,73534,73550
"Lincoln, NV",48952,51286,48569
"Lyon, NV",43975,46646,46735
"Mineral, NV",47126,48400,47500
"Nye, NV",40145,42898,43052
"Pershing, NV",36863,41568,39865
"Storey, NV",68007,77324,78007
"Washoe, NV",65110,75348,78078
"White Pine, NV",53517,58546,57323
"Carson City (Independent City), NV",54776,59579,61026
"Belknap, NH",68625,71217,73072
"Carroll, NH",66049,70166,71081
"Cheshire, NH",57496,65196,62369
"Coos, NH",49251,52797,52438
"Grafton, NH",69092,74404,75236
"Hillsborough, NH",66256,69833,71761
"Merrimack, NH",64297,67185,68713
"Rockingham, NH",81679,87347,90689
"Strafford, NH",57102,60558,62234
"Sullivan, NH",59146,63657,63965
"Atlantic, NJ",53533,57351,55918
"Bergen, NJ",88461,94654,97138
"Burlington, NJ",65369,69619,70448
"Camden, NJ",56814,61023,60489
"Cape May, NJ",68836,73458,71590
"Cumberland, NJ",44000,48073,46791
"Essex, NJ",67857,74873,75934
"Gloucester, NJ",58451,62338,62405
"Hudson, NJ",64653,72709,72730
"Hunterdon, NJ",93251,98146,102044
"Mercer, NJ",72811,77984,79354
"Middlesex, NJ",64841,69931,70951
"Monmouth, NJ",86588,91247,94381
"Morris, NJ",100797,107660,111597
"Ocean, NJ",56954,59386,59332
"Passaic, NJ",53539,57951,57067
"Salem, NJ",51979,55067,54250
"Somerset, NJ",103317,106848,110753
"Sussex, NJ",67079,70291,71671
"Union, NJ",70682,75285,76616
"Warren, NJ",59268,61960,62921
"Bernalillo, NM",50063,54551,55543
"Catron, NM",37613,38929,39459
"Chaves, NM",43088,46647,47792
"Cibola, NM*",32047,33845,34184
"Colfax, NM",44595,49012,50285
"Curry, NM",48363,51328,53676
"De Baca, NM",53849,54008,56051
"Doña Ana, NM",40871,45649,45361
"Eddy, NM",59037,64865,67457
"Grant, NM",44057,48772,51917
"Guadalupe, NM",38025,43708,42757
"Harding, NM",43803,44223,46185
"Hidalgo, NM",47083,50254,53110
"Lea, NM",45549,47708,52825
"Lincoln, NM",46078,49885,50253
"Los Alamos, NM",76281,82828,86598
"Luna, NM",35778,38804,37413
"McKinley, NM",31984,35211,34910
"Mora, NM",48929,50333,51788
"Otero, NM",38876,41977,41853
"Quay, NM",40793,44473,47211
"Rio Arriba, NM",39018,42707,43400
"Roosevelt, NM",43897,46503,49631
"Sandoval, NM",47801,51906,53144
"San Juan, NM",39050,43031,43489
"San Miguel, NM",40795,44445,45444
"Santa Fe, NM",63104,72940,74751
"Sierra, NM",44956,48941,48636
"Socorro, NM",39083,42672,43237
"Taos, NM",41204,46351,46783
"Torrance, NM",39416,42304,43215
"Union, NM",40425,42022,43268
"Valencia, NM*",39662,43379,43977
"Albany, NY",68825,73409,73125
"Allegany, NY",41777,42166,41297
"Bronx, NY",41240,44020,40691
"Broome, NY",47398,50152,48826
"Cattaraugus, NY",44580,46428,45575
"Cayuga, NY",49227,51789,51714
"Chautauqua, NY",44634,47436,46279
"Chemung, NY",49058,51797,51630
"Chenango, NY",47274,49953,49288
"Clinton, NY",48550,50930,51133
"Columbia, NY",64301,68369,69187
"Cortland, NY",46223,48307,47648
"Delaware, NY",44929,47173,45900
"Dutchess, NY",63835,67260,68474
"Erie, NY",55097,57900,57450
"Essex, NY",51196,54768,53558
"Franklin, NY",45263,49293,49239
"Fulton, NY",47903,50683,50202
"Genesee, NY",48133,50043,49259
"Greene, NY",53506,56454,56271
"Hamilton, NY",53926,55925,54185
"Herkimer, NY",47905,50839,49344
"Jefferson, NY",50260,52354,51749
"Kings, NY",55031,62001,60153
"Lewis, NY",51199,53785,53952
"Livingston, NY",49329,50433,50267
"Madison, NY",52001,55903,55924
"Monroe, NY",57124,59883,59354
"Montgomery, NY",45579,47853,46909
"Nassau, NY",91828,97155,99864
"New York, NY",162457,193617,186848
"Niagara, NY",50213,52103,51747
"Oneida, NY",49571,52571,51637
"Onondaga, NY",57781,60952,60414
"Ontario, NY",58637,61937,61885
"Orange, NY",55350,57555,58136
"Orleans, NY",44297,46544,45392
"Oswego, NY",45759,47944,47279
"Otsego, NY",50514,51035,49618
"Putnam, NY",75547,78363,80309
"Queens, NY",51882,56313,54261
"Rensselaer, NY",53673,56271,55976
"Richmond, NY",59317,62959,62469
"Rockland, NY",64228,67108,67860
"St. Lawrence, NY",42651,45294,44328
"Saratoga, NY",69305,74404,74991
"Schenectady, NY",53155,57088,57198
"Schoharie, NY",48615,50187,49517
"Schuyler, NY",47331,49639,48843
"Seneca, NY",44205,46848,46607
"Steuben, NY",51262,54359,54247
"Suffolk, NY",78701,82301,84201
"Sullivan, NY",50941,53931,54451
"Tioga, NY",49889,51782,50825
"Tompkins, NY",50472,50527,51169
"Ulster, NY",58285,61224,62270
"Warren, NY",58485,61193,60743
"Washington, NY",45483,48371,47673
"Wayne, NY",51420,54281,53837
"Westchester, NY",111340,119841,124029
"Wyoming, NY",45902,50025,50254
"Yates, NY",45843,49106,49358
"Alamance, NC",44223,48218,48980
"Alexander, NC",42020,46049,48035
"Alleghany, NC",41553,44417,44464
"Anson, NC",42032,47342,50187
"Ashe, NC",40730,44051,44433
"Avery, NC",40161,44675,45653
"Beaufort, NC",49644,54638,54554
"Bertie, NC",41403,48666,49409
"Bladen, NC",43041,48614,48424
"Brunswick, NC",53840,57611,58281
"Buncombe, NC",52847,58883,61560
"Burke, NC",41095,44126,44631
"Cabarrus, NC",49313,52883,54754
"Caldwell, NC",40096,44196,44761
"Camden, NC",52318,55169,56906
"Carteret, NC",57425,62138,63531
"Caswell, NC",38126,41671,41155
"Catawba, NC",48940,53670,55223
"Chatham, NC",70275,76790,79769
"Cherokee, NC",36538,39646,40021
"Chowan, NC",45733,50638,51005
"Clay, NC",40588,43764,43753
"Cleveland, NC",40777,44548,45126
"Columbus, NC",39746,44261,44109
"Craven, NC",49475,53991,54327
"Cumberland, NC",42554,46001,46024
"Currituck, NC",52882,57334,59381
"Dare, NC",64544,72122,76100
"Davidson, NC",43984,48005,48523
"Davie, NC",53010,58880,60579
"Duplin, NC",44157,52536,52760
"Durham, NC",53973,57849,59070
"Edgecombe, NC",40426,44090,43507
"Forsyth, NC",51667,56273,57781
"Franklin, NC",41803,45785,46330
"Gaston, NC",44808,48748,49674
"Gates, NC",44611,49434,49850
"Graham, NC",39293,42625,41336
"Granville, NC",42701,46151,46906
"Greene, NC",35078,39616,38963
"Guilford, NC",49900,54117,55008
"Halifax, NC",40249,44549,44768
"Harnett, NC",39664,44164,44192
"Haywood, NC",44882,49360,50894
"Henderson, NC",48378,53379,55243
"Hertford, NC",38993,42073,41529
"Hoke, NC",37583,41494,41181
"Hyde, NC",45086,49971,48593
"Iredell, NC",56778,61688,64437
"Jackson, NC",40196,44040,44870
"Johnston, NC",44945,48440,49672
"Jones, NC",42505,50285,48585
"Lee, NC",44833,49392,49622
"Lenoir, NC",44714,49888,51039
"Lincoln, NC",51873,56061,58227
"McDowell, NC",40139,43666,43983
"Macon, NC",43926,47209,48309
"Madison, NC",39905,43326,44497
"Martin, NC",38344,43236,42553
"Mecklenburg, NC",68546,73908,76441
"Mitchell, NC",40269,43700,43990
"Montgomery, NC",41954,45816,46774
"Moore, NC",57370,61193,62886
"Nash, NC",46612,49903,50715
"New Hanover, NC",54128,59914,60943
"Northampton, NC",41835,47581,47614
"Onslow, NC",46781,51490,51585
"Orange, NC",72271,75349,77568
"Pamlico, NC",48844,52383,52301
"Pasquotank, NC",42956,47094,47234
"Pender, NC",45161,49607,49887
"Perquimans, NC",46806,52814,53355
"Person, NC",42300,45717,45304
"Pitt, NC",48920,52716,53495
"Polk, NC",54915,58680,61494
"Randolph, NC",41641,46031,46748
"Richmond, NC",40265,44864,46009
"Robeson, NC",37167,41618,41071
"Rockingham, NC",41380,45428,45332
"Rowan, NC",41866,46221,46990
"Rutherford, NC",38322,42065,42525
"Sampson, NC",40816,46657,46849
"Scotland, NC",37902,41005,41064
"Stanly, NC",43161,47273,48212
"Stokes, NC",41963,46442,46391
"Surry, NC",43044,48060,48778
"Swain, NC",44375,50318,51517
"Transylvania, NC",48333,53026,55406
"Tyrrell, NC",44595,47208,45079
"Union, NC",58390,64278,67641
"Vance, NC",39534,43909,43356
"Wake, NC",65717,73800,76357
"Warren, NC",35114,38664,37601
"Washington, NC",41670,46449,45405
"Watauga, NC",43123,46432,48445
"Wayne, NC",44189,49132,49370
"Wilkes, NC",41195,45732,47495
"Wilson, NC",44619,48558,48774
"Yadkin, NC",41757,46694,47455
"Yancey, NC",39418,41798,42006
"Adams, ND",60325,57266,58789
"Barnes, ND",61302,66764,75766
"Benson, ND",50026,56756,68554
"Billings, ND",86835,86789,83059
"Bottineau, ND",69397,71537,89879
"Bowman, ND",71448,75237,75059
"Burke, ND",80242,72620,102647
"Burleigh, ND",62748,69512,71483
"Cass, ND",61838,67112,69087
"Cavalier, ND",92697,89451,135571
"Dickey, ND",67230,77706,92959
"Divide, ND",63376,62480,73799
"Dunn, ND",78373,90817,91714
"Eddy, ND",68886,73202,90322
"Emmons, ND",64478,76109,93990
"Foster, ND",73331,77624,91480
"Golden Valley, ND",51277,54925,56952
"Grand Forks, ND",54966,58847,61124
"Grant, ND",56492,60309,64280
"Griggs, ND",67896,74434,93926
"Hettinger, ND",63327,58291,67417
"Kidder, ND",66804,76495,83562
"LaMoure, ND",67879,75618,94822
"Logan, ND",60539,69006,85398
"McHenry, ND",66980,74314,78346
"McIntosh, ND",70349,82395,89939
"McKenzie, ND",65969,73100,76046
"McLean, ND",65804,78732,81193
"Mercer, ND",62172,66610,66227
"Morton, ND",56482,60396,60819
"Mountrail, ND",71666,73150,81073
"Nelson, ND",68909,69892,92263
"Oliver, ND",54142,63168,62844
"Pembina, ND",72475,79048,87939
"Pierce, ND",56940,67932,74616
"Ramsey, ND",56131,60315,68308
"Ransom, ND",58274,66596,74480
"Renville, ND",80610,77149,113541
"Richland, ND",52050,62435,65952
"Rolette, ND",48882,53057,56996
"Sargent, ND",66380,82428,93105
"Sheridan, ND",60193,79425,99263
"Sioux, ND",37088,37343,38785
"Slope, ND",65273,68663,57137
"Stark, ND",61656,63187,67057
"Steele, ND",86708,85981,115546
"Stutsman, ND",58227,61786,67944
"Towner, ND",84431,75292,119550
"Traill, ND",66012,66588,75372
"Walsh, ND",61913,66545,75957
"Ward, ND",57499,59994,62577
"Wells, ND",74148,81598,109412
"Williams, ND",61728,64464,69096
"Adams, OH",39936,44026,43431
"Allen, OH",46952,49896,50195
"Ashland, OH",44253,47250,47118
"Ashtabula, OH",43214,46306,46316
"Athens, OH",38205,42449,41866
"Auglaize, OH",50590,55346,55857
"Belmont, OH",43560,46362,46658
"Brown, OH",42616,46272,45846
"Butler, OH",51827,55095,55897
"Carroll, OH",44274,47550,47394
"Champaign, OH",46026,49260,48873
"Clark, OH",44342,47344,47151
"Clermont, OH",60894,61961,62495
"Clinton, OH",47523,50106,49985
"Columbiana, OH",42263,45061,45189
"Coshocton, OH",39403,42623,42239
"Crawford, OH",42878,47453,46572
"Cuyahoga, OH",57048,62296,63448
"Darke, OH",47551,52191,52673
"Defiance, OH",44267,47593,47310
"Delaware, OH",80033,85075,88871
"Erie, OH",53374,56803,58855
"Fairfield, OH",51542,54653,55015
"Fayette, OH",44636,47680,47012
"Franklin, OH",54352,59391,59473
"Fulton, OH",49978,52939,52808
"Gallia, OH",44453,45960,46079
"Geauga, OH",72092,79771,83249
"Greene, OH",55350,59860,61013
"Guernsey, OH",45785,48144,47686
"Hamilton, OH",63022,69556,71767
"Hancock, OH",55745,56429,56761
"Hardin, OH",37099,40431,39938
"Harrison, OH",43042,45862,46168
"Henry, OH",48966,52631,52388
"Highland, OH",40852,44521,44035
"Hocking, OH",43346,45611,45472
"Holmes, OH",49487,54188,56133
"Huron, OH",45315,48045,47635
"Jackson, OH",40191,41896,41084
"Jefferson, OH",43026,45775,45490
"Knox, OH",48455,51120,51107
"Lake, OH",55040,58839,59749
"Lawrence, OH",43885,46958,47449
"Licking, OH",51540,55252,55665
"Logan, OH",45865,48897,48607
"Lorain, OH",50943,54687,55441
"Lucas, OH",50236,53287,53428
"Madison, OH",47773,50802,52295
"Mahoning, OH",47491,51229,51765
"Marion, OH",40180,42753,42382
"Medina, OH",60353,64011,65702
"Meigs, OH",40609,42730,42061
"Mercer, OH",53785,59739,61832
"Miami, OH",51885,55632,56078
"Monroe, OH",41810,43391,42173
"Montgomery, OH",51333,54574,55114
"Morgan, OH",40077,43383,43106
"Morrow, OH",45594,48606,47698
"Muskingum, OH",46164,49176,49192
"Noble, OH",30660,31971,31123
"Ottawa, OH",57576,61874,62480
"Paulding, OH",45594,48561,48624
"Perry, OH",43030,46322,45943
"Pickaway, OH",46686,50919,50895
"Pike, OH",43204,45951,46346
"Portage, OH",48833,53508,53419
"Preble, OH",44657,48922,48644
"Putnam, OH",54439,58913,59510
"Richland, OH",42685,45205,44998
"Ross, OH",41674,45276,44711
"Sandusky, OH",45422,48885,48557
"Scioto, OH",43624,45959,46319
"Seneca, OH",44460,47926,47563
"Shelby, OH",48999,52067,51955
"Stark, OH",48985,53027,53588
"Summit, OH",56369,61057,62207
"Trumbull, OH",43161,45780,45564
"Tuscarawas, OH",46002,50621,51879
"Union, OH",62252,66880,69498
"Van Wert, OH",45784,49958,49563
"Vinton, OH",39276,40853,40536
"Warren, OH",66255,70482,73592
"Washington, OH",46708,50345,51016
"Wayne, OH",48916,53125,53174
"Williams, OH",44916,48791,48999
"Wood, OH",51204,55314,56011
"Wyandot, OH",50170,54769,55488
"Adair, OK",35788,40275,41664
"Alfalfa, OK",40934,45533,41918
"Atoka, OK",34422,36277,35823
"Beaver, OK",58018,68300,65651
"Beckham, OK",37295,39517,38722
"Blaine, OK",44913,51333,50465
"Bryan, OK",40728,44736,44456
"Caddo, OK",41474,45515,44315
"Canadian, OK",48590,52397,53879
"Carter, OK",46290,50134,50492
"Cherokee, OK",38429,41871,41730
"Choctaw, OK",37326,41068,39459
"Cimarron, OK",64058,71759,71787
"Cleveland, OK",47444,51166,51743
"Coal, OK",40681,43400,42808
"Comanche, OK",45564,48279,47704
"Cotton, OK",48451,50941,48052
"Craig, OK",41100,43402,43647
"Creek, OK",45104,48316,48223
"Custer, OK",42845,47447,47387
"Delaware, OK",38206,42227,43684
"Dewey, OK",51744,49183,50032
"Ellis, OK",54313,58132,60331
"Garfield, OK",44544,49013,48872
"Garvin, OK",47109,49826,49595
"Grady, OK",44774,48189,48140
"Grant, OK",53750,58958,49570
"Greer, OK",33404,35233,34048
"Harmon, OK",46180,50094,47775
"Harper, OK",55270,60361,64863
"Haskell, OK",38333,42905,44146
"Hughes, OK",40693,49198,46820
"Jackson, OK",45407,49245,48893
"Jefferson, OK",40267,40166,40832
"Johnston, OK",41626,44844,45453
"Kay, OK",45376,48760,48422
"Kingfisher, OK",61983,70770,71911
"Kiowa, OK",42794,45629,44612
"Latimer, OK",37746,39758,39157
"Le Flore, OK",36610,40215,41452
"Lincoln, OK",42441,46021,45402
"Logan, OK",45482,48345,48476
"Love, OK",41656,43816,43362
"McClain, OK",49755,53986,56086
"McCurtain, OK",38429,43249,43860
"McIntosh, OK",40525,42846,42837
"Major, OK",43642,48584,46530
"Marshall, OK",41383,44512,44911
"Mayes, OK",42065,45371,44793
"Murray, OK",45891,49163,49714
"Muskogee, OK",42004,44821,44727
"Noble, OK",47929,50424,48939
"Nowata, OK",42499,44261,44176
"Okfuskee, OK",35328,38380,38363
"Oklahoma, OK",58719,65617,68047
"Okmulgee, OK",39701,42620,42614
"Osage, OK",39512,44067,43479
"Ottawa, OK",42533,46630,46364
"Pawnee, OK",40070,43340,43482
"Payne, OK",41494,45036,45416
"Pittsburg, OK",40517,42848,42484
"Pontotoc, OK",48461,52269,53000
"Pottawatomie, OK",43216,49898,47587
"Pushmataha, OK",37176,40578,39279
"Roger Mills, OK",47751,49548,47155
"Rogers, OK",50088,52873,52850
"Seminole, OK",38717,42336,43154
"Sequoyah, OK",39333,43237,43697
"Stephens, OK",45580,48378,48653
"Texas, OK",50690,61867,60450
"Tillman, OK",37561,40917,34298
"Tulsa, OK",61416,67314,70064
"Wagoner, OK",46103,49178,49774
"Washington, OK",63280,83921,96408
"Washita, OK",38351,41297,40073
"Woods, OK",45365,49285,47818
"Woodward, OK",39134,42308,40488
"Baker, OR",44785,48153,48666
"Benton, OR",49990,54622,55325
"Clackamas, OR",64848,71666,73129
"Clatsop, OR",49704,54109,53788
"Columbia, OR",49675,53365,53724
"Coos, OR",50770,54462,54330
"Crook, OR",46970,51877,51931
"Curry, OR",47940,52039,51950
"Deschutes, OR",64080,70161,71627
"Douglas, OR",46163,50343,49440
"Gilliam, OR",63667,63173,69112
"Grant, OR",47688,50829,51240
"Harney, OR",44506,49214,50016
"Hood River, OR",59611,65658,64748
"Jackson, OR",51850,56928,57552
"Jefferson, OR",40259,43768,43354
"Josephine, OR",47955,51979,52166
"Klamath, OR",43406,47364,47244
"Lake, OR",43592,47456,46728
"Lane, OR",50701,55942,56188
"Lincoln, OR",49063,53680,53494
"Linn, OR",47621,51999,52469
"Malheur, OR",35024,38168,38407
"Marion, OR",49115,53768,54440
"Morrow, OR",49571,51624,55080
"Multnomah, OR",62954,69829,69954
"Polk, OR",45753,49620,50295
"Sherman, OR",62187,62413,67452
"Tillamook, OR",49630,54306,54639
"Umatilla, OR",44746,48257,49149
"Union, OR",45817,48736,48999
"Wallowa, OR",48091,52995,52699
"Wasco, OR",48163,52440,52093
"Washington, OR",67693,71530,73380
"Wheeler, OR",39867,41160,43062
"Yamhill, OR",50987,55923,56563
"Adams, PA",53258,55818,55597
"Allegheny, PA",66014,70137,70837
"Armstrong, PA",49947,53745,54352
"Beaver, PA",52557,55306,54812
"Bedford, PA",45877,49928,49468
"Berks, PA",54418,58311,58199
"Blair, PA",50853,55162,55101
"Bradford, PA",45479,48065,48206
"Bucks, PA",78810,84470,86770
"Butler, PA",63279,68368,69129
"Cambria, PA",46250,48961,47971
"Cameron, PA",50652,51780,50557
"Carbon, PA",59495,60293,58626
"Centre, PA",52013,55107,54686
"Chester, PA",92175,97652,101051
"Clarion, PA",45983,47622,46458
"Clearfield, PA",49015,53767,52265
